ds,y
1993-01-29,24.84067726135254
1993-02-01,25.017366409301758
1993-02-02,25.07036590576172
1993-02-03,25.335376739501953
1993-02-04,25.44138526916504
1993-02-05,25.42371368408203
1993-02-08,25.42371368408203
1993-02-09,25.247034072875977
1993-02-10,25.28236961364746
1993-02-11,25.406044006347656
1993-02-12,25.21170997619629
1993-02-16,24.57567024230957
1993-02-17,24.557998657226562
1993-02-18,24.540340423583984
1993-02-19,24.628658294677734
1993-02-22,24.716997146606445
1993-02-23,24.699344635009766
1993-02-24,25.017366409301758
1993-02-25,25.07036590576172
1993-02-26,25.105697631835938
1993-03-01,25.0350341796875
1993-03-02,25.406044006347656
1993-03-03,25.512067794799805
1993-03-04,25.37071418762207
1993-03-05,25.300031661987305
1993-03-08,25.865398406982422
1993-03-09,25.777053833007812
1993-03-10,25.830074310302734
1993-03-11,25.75937843322754
1993-03-12,25.4943790435791
1993-03-15,25.618051528930664
1993-03-16,25.618051528930664
1993-03-17,25.459049224853516
1993-03-18,25.618051528930664
1993-03-19,25.57929229736328
1993-03-22,25.437273025512695
1993-03-23,25.490528106689453
1993-03-24,25.490528106689453
1993-03-25,25.650285720825195
1993-03-26,25.50827980041504
1993-03-29,25.61478042602539
1993-03-30,25.68578338623047
1993-03-31,25.66803550720215
1993-04-01,25.57929229736328
1993-04-02,25.04676055908203
1993-04-05,25.171024322509766
1993-04-06,25.099994659423828
1993-04-07,25.18876838684082
1993-04-08,25.153263092041016
1993-04-12,25.50827980041504
1993-04-13,25.561540603637695
1993-04-14,25.526033401489258
1993-04-15,25.526033401489258
1993-04-16,25.526033401489258
1993-04-19,25.419527053833008
1993-04-20,25.295286178588867
1993-04-21,25.27750587463379
1993-04-22,24.957990646362305
1993-04-23,24.85149383544922
1993-04-26,24.656227111816406
1993-04-27,24.922502517700195
1993-04-28,24.869234085083008
1993-04-29,24.975744247436523
1993-04-30,25.011245727539062
1993-05-03,25.171024322509766
1993-05-04,25.2597713470459
1993-05-05,25.330772399902344
1993-05-06,25.24203109741211
1993-05-07,25.18876838684082
1993-05-10,25.24203109741211
1993-05-11,25.348535537719727
1993-05-12,25.31301498413086
1993-05-13,25.011245727539062
1993-05-14,24.993505477905273
1993-05-17,25.082265853881836
1993-05-18,25.064512252807617
1993-05-19,25.57929229736328
1993-05-20,25.650285720825195
1993-05-21,25.419527053833008
1993-05-24,25.526033401489258
1993-05-25,25.57929229736328
1993-05-26,25.898799896240234
1993-05-27,25.81006622314453
1993-05-28,25.68578338623047
1993-06-01,25.93431282043457
1993-06-02,25.898799896240234
1993-06-03,25.81006622314453
1993-06-04,25.721309661865234
1993-06-07,25.632556915283203
1993-06-08,25.401775360107422
1993-06-09,25.490528106689453
1993-06-10,25.50827980041504
1993-06-11,25.61478042602539
1993-06-14,25.57929229736328
1993-06-15,25.526033401489258
1993-06-16,25.57929229736328
1993-06-17,25.66803550720215
1993-06-18,25.45667266845703
1993-06-21,25.51030158996582
1993-06-22,25.528169631958008
1993-06-23,25.29578399658203
1993-06-24,25.63543128967285
1993-06-25,25.61754608154297
1993-06-28,25.90359878540039
1993-06-29,25.7784423828125
1993-06-30,25.7784423828125
1993-07-01,25.706941604614258
1993-07-02,25.563922882080078
1993-07-06,25.29578399658203
1993-07-07,25.367271423339844
1993-07-08,25.653316497802734
1993-07-09,25.72481918334961
1993-07-12,25.706941604614258
1993-07-13,25.689071655273438
1993-07-14,25.7784423828125
1993-07-15,25.67118263244629
1993-07-16,25.599689483642578
1993-07-19,25.581804275512695
1993-07-20,25.653316497802734
1993-07-21,25.63543128967285
1993-07-22,25.45667266845703
1993-07-23,25.581804275512695
1993-07-26,25.72481918334961
1993-07-27,25.706941604614258
1993-07-28,25.653316497802734
1993-07-29,25.796323776245117
1993-07-30,25.653316497802734
1993-08-02,25.72481918334961
1993-08-03,25.742704391479492
1993-08-04,25.742704391479492
1993-08-05,25.689071655273438
1993-08-06,25.72481918334961
1993-08-09,25.867830276489258
1993-08-10,25.84996223449707
1993-08-11,25.84996223449707
1993-08-12,25.7784423828125
1993-08-13,25.81420135498047
1993-08-16,25.957225799560547
1993-08-17,26.04659080505371
1993-08-18,26.189619064331055
1993-08-19,26.189619064331055
1993-08-20,26.207504272460938
1993-08-23,26.15386199951172
1993-08-24,26.439905166625977
1993-08-25,26.457763671875
1993-08-26,26.475658416748047
1993-08-27,26.457763671875
1993-08-30,26.565019607543945
1993-08-31,26.63652801513672
1993-09-01,26.600778579711914
1993-09-02,26.511409759521484
1993-09-03,26.529268264770508
1993-09-07,26.350502014160156
1993-09-08,26.26112937927246
1993-09-09,26.314762115478516
1993-09-10,26.54715919494629
1993-09-13,26.565019607543945
1993-09-14,26.457763671875
1993-09-15,26.529268264770508
1993-09-16,26.422008514404297
1993-09-17,26.37078285217285
1993-09-20,26.154926300048828
1993-09-21,26.064992904663086
1993-09-22,26.280855178833008
1993-09-23,26.424758911132812
1993-09-24,26.352802276611328
1993-09-27,26.64060401916504
1993-09-28,26.58664321899414
1993-09-29,26.49669075012207
1993-09-30,26.4427433013916
1993-10-01,26.56865882873535
1993-10-04,26.604629516601562
1993-10-05,26.56865882873535
1993-10-06,26.550668716430664
1993-10-07,26.478713989257812
1993-10-08,26.514677047729492
1993-10-11,26.56865882873535
1993-10-12,26.604629516601562
1993-10-13,26.604629516601562
1993-10-14,26.9464054107666
1993-10-15,27.09033203125
1993-10-18,27.01837730407715
1993-10-19,26.82048988342285
1993-10-20,26.85647201538086
1993-10-21,26.82048988342285
1993-10-22,26.694570541381836
1993-10-25,26.76653480529785
1993-10-26,26.748550415039062
1993-10-27,26.76653480529785
1993-10-28,26.96438980102539
1993-10-29,26.96438980102539
