ds,y
2008-03-28,36.88614273071289
2008-03-31,36.31186294555664
2008-04-01,37.29109191894531
2008-04-02,37.70338439941406
2008-04-03,37.91690444946289
2008-04-04,37.89480972290039
2008-04-07,38.115684509277344
2008-04-08,38.351295471191406
2008-04-09,37.63711929321289
2008-04-10,37.63711929321289
2008-04-11,37.04075622558594
2008-04-14,37.18800354003906
2008-04-15,37.29109191894531
2008-04-16,37.79909133911133
2008-04-17,38.30710220336914
2008-04-18,38.726776123046875
2008-04-21,38.903480529785156
2008-04-22,38.550071716308594
2008-04-23,38.645790100097656
2008-04-24,38.66050720214844
2008-04-25,38.81513214111328
2008-04-28,39.1317138671875
2008-04-29,38.6826057434082
2008-04-30,39.2053337097168
2008-05-01,39.08753967285156
2008-05-02,39.330501556396484
2008-05-05,39.44093704223633
2008-05-06,39.70597839355469
2008-05-07,39.043357849121094
2008-05-08,39.17588806152344
2008-05-09,39.00654602050781
2008-05-12,39.40412521362305
2008-05-13,39.44830322265625
2008-05-14,39.536659240722656
2008-05-15,39.95631790161133
2008-05-16,40.29498291015625
2008-05-19,40.28025817871094
2008-05-20,39.8826789855957
2008-05-21,39.61027908325195
2008-05-22,39.669193267822266
2008-05-23,39.05072021484375
2008-05-27,39.35257339477539
2008-05-28,39.34523010253906
2008-05-29,39.58819580078125
2008-05-30,39.54401397705078
2008-06-02,39.24215316772461
2008-06-03,39.14643859863281
2008-06-04,38.74886703491211
2008-06-05,39.58082962036133
2008-06-06,38.53535079956055
2008-06-09,38.29975509643555
2008-06-10,37.924259185791016
2008-06-11,37.4677734375
2008-06-12,37.4898681640625
2008-06-13,37.74755859375
2008-06-16,37.99787521362305
2008-06-17,37.990509033203125
2008-06-18,37.718109130859375
2008-06-19,37.21746826171875
2008-06-20,36.95240020751953
2008-06-23,37.077571868896484
2008-06-24,36.70943832397461
2008-06-25,37.10702133178711
2008-06-26,36.179344177246094
2008-06-27,36.2456169128418
2008-06-30,36.385494232177734
2008-07-01,36.105716705322266
2008-07-02,35.5388069152832
2008-07-03,35.39155960083008
2008-07-07,35.531436920166016
2008-07-08,35.42838668823242
2008-07-09,35.347381591796875
2008-07-10,35.22957992553711
2008-07-11,34.971900939941406
2008-07-14,34.832008361816406
2008-07-15,34.471248626708984
2008-07-16,34.802555084228516
2008-07-17,35.26640319824219
2008-07-18,35.29584503173828
2008-07-21,35.450462341308594
2008-07-22,35.435733795166016
2008-07-23,35.91429901123047
2008-07-24,35.15595245361328
2008-07-25,35.14860534667969
2008-07-28,34.72893142700195
2008-07-29,35.11914825439453
2008-07-30,35.32529830932617
2008-07-31,35.23695755004883
2008-08-01,34.82463455200195
2008-08-04,34.471248626708984
2008-08-05,35.03079605102539
2008-08-06,35.42838668823242
2008-08-07,34.75102233886719
2008-08-08,35.14124298095703
2008-08-11,35.19276809692383
2008-08-12,34.92035675048828
2008-08-13,34.75102233886719
2008-08-14,34.780479431152344
2008-08-15,34.64059066772461
2008-08-18,34.32398986816406
2008-08-19,33.89696502685547
2008-08-20,34.09577178955078
2008-08-21,34.441795349121094
2008-08-22,34.55958557128906
2008-08-25,33.97796630859375
2008-08-26,34.13993453979492
2008-08-27,34.382904052734375
2008-08-28,34.80990982055664
2008-08-29,34.64795684814453
2008-09-02,34.17673110961914
2008-09-03,33.705543518066406
2008-09-04,32.81467819213867
2008-09-05,32.689510345458984
2008-09-08,33.04292678833008
2008-09-09,32.09316635131836
2008-09-10,32.57172393798828
2008-09-11,32.549625396728516
2008-09-12,32.93247985839844
2008-09-15,31.378984451293945
2008-09-16,31.607234954833984
2008-09-17,30.245168685913086
2008-09-18,31.437898635864258
2008-09-19,33.190162658691406
2008-09-22,32.483367919921875
2008-09-23,31.783920288085938
2008-09-24,31.76920509338379
2008-09-25,32.52018356323242
2008-09-26,32.350833892822266
2008-09-29,29.32484245300293
2008-09-30,30.399789810180664
2008-10-01,30.524934768676758
2008-10-02,29.243871688842773
2008-10-03,28.713773727416992
2008-10-06,27.241268157958984
2008-10-07,26.02645492553711
2008-10-08,25.466907501220703
2008-10-09,23.88396644592285
2008-10-10,23.36859130859375
2008-10-13,26.26941680908203
2008-10-14,26.100080490112305
2008-10-15,23.611557006835938
2008-10-16,24.52450180053711
2008-10-17,24.134286880493164
2008-10-20,25.525806427001953
2008-10-21,24.4361515045166
2008-10-22,22.65442657470703
2008-10-23,22.794313430786133
2008-10-24,21.80037498474121
2008-10-27,20.75490379333496
2008-10-28,22.97100830078125
2008-10-29,23.34650230407715
2008-10-30,24.45087242126465
2008-10-31,24.804269790649414
2008-11-03,24.66438865661621
2008-11-04,25.996997833251953
2008-11-05,24.627574920654297
2008-11-06,23.01519203186035
2008-11-07,24.1563777923584
2008-11-10,23.90605354309082
2008-11-11,23.28760528564453
2008-11-12,22.01388931274414
2008-11-13,23.560012817382812
2008-11-14,22.337841033935547
2008-11-17,22.08751678466797
2008-11-18,21.88136100769043
2008-11-19,20.710718154907227
2008-11-20,19.3413028717041
2008-11-21,20.489849090576172
2008-11-24,21.984437942504883
2008-11-25,22.01388931274414
2008-11-26,22.558712005615234
2008-11-28,22.632343292236328
2008-12-01,20.718088150024414
2008-12-02,21.719392776489258
2008-12-03,21.96234893798828
2008-12-04,21.56477928161621
2008-12-05,21.925537109375
2008-12-08,22.80904197692871
2008-12-09,22.536630630493164
2008-12-10,23.155078887939453
2008-12-11,22.919475555419922
2008-12-12,23.05936622619629
2008-12-15,22.934202194213867
2008-12-16,24.237361907958984
2008-12-17,24.11220359802246
2008-12-18,23.250789642333984
